"Año";"Periodo";"Precio de la luz"
"2023";"Día 11 de agosto";"113,09"
"2023";"Día 12 de agosto";"98,2"
"2023";"Día 13 de agosto";"72,82"
"2023";"Día 14 de agosto";"97,61"
"2023";"Día 15 de agosto";"95,63"
"2023";"Día 16 de agosto";"105,84"
"2023";"Día 17 de agosto";"113,96"
"2023";"Día 18 de agosto";"107,64"
"2023";"Día 19 de agosto";"109,85"
"2023";"Día 20 de agosto";"113,17"
"2023";"Día 21 de agosto";"117,25"
"2023";"Día 22 de agosto";"120,67"
"2023";"Día 23 de agosto";"134,94"
"2023";"Día 24 de agosto";"132,91"
"2023";"Día 25 de agosto";"111,69"
"2023";"Día 26 de agosto";"101,87"
"2023";"Día 27 de agosto";"52,31"
"2023";"Día 28 de agosto";"89,66"
"2023";"Día 29 de agosto";"102,57"
"2023";"Día 30 de agosto";"108,32"
"2023";"Día 31 de agosto";"110,57"
"2023";"Día 1 de septiembre";"105,8"
"2023";"Día 2 de septiembre";"102,33"
"2023";"Día 3 de septiembre";"63,35"
"2023";"Día 4 de septiembre";"86,85"
"2023";"Día 5 de septiembre";"103,79"
"2023";"Día 6 de septiembre";"107,1"
"2023";"Día 7 de septiembre";"107,1"
"2023";"Día 8 de septiembre";"103,83"
"2023";"Día 9 de septiembre";"100,7"
"2023";"Día 10 de septiembre";"102,07"
"2023";"Día 11 de septiembre";"116,94"
"2023";"Día 12 de septiembre";"116,66"
"2023";"Día 13 de septiembre";"108,57"
"2023";"Día 14 de septiembre";"106,46"
"2023";"Día 15 de septiembre";"115,38"
"2023";"Día 16 de septiembre";"98,91"
"2023";"Día 17 de septiembre";"63,77"
"2023";"Día 18 de septiembre";"105,81"
"2023";"Día 19 de septiembre";"109,9"
"2023";"Día 20 de septiembre";"93,65"
"2023";"Día 21 de septiembre";"92,11"
"2023";"Día 22 de septiembre";"101,47"
"2023";"Día 23 de septiembre";"110,04"
"2023";"Día 26 de septiembre";"123,05"
"2023";"Día 27 de septiembre";"114,83"
"2023";"Día 28 de septiembre";"113,86"
"2023";"Día 29 de septiembre";"118,96"
"2023";"Día 30 de septiembre";"104,89"
"2023";"Día 1 de octubre";"96"
"2023";"Día 2 de octubre";"114,86"
"2023";"Día 3 de octubre";"106,6"
"2023";"Día 4 de octubre";"102,74"
"2023";"Día 5 de octubre";"103,5"
"2023";"Día 6 de octubre";"105,51"
"2023";"Día 7 de octubre";"99,16"
"2023";"Día 8 de octubre";"104,23"
"2023";"Día 9 de octubre";"120,96"
"2023";"Día 10 de octubre";"125,39"
"2023";"Día 11 de octubre";"123,59"
"2023";"Día 12 de octubre";"121,95"
"2023";"Día 14 de octubre";"135,13"
;;
;;
"Métrica":"Precio de la luz"
"Fuente":"OMIE"
"Clasificación":""
"Unidad":"Precio del mercado mayorista de electricidad"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-diaria-precio-luz-mercado-mayorista-espanol/aa59f766-4dc4-4f80-9351-0fe31405392e"
"Titulo":"Evolución diaria del precio de la luz en el mercado mayorista español"
"Subtitulo":""
